0.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00
6.318058255495173636e-01,1.340387496398831368e+00,2.200648745998741440e-01
1.098912845659333115e+00,9.118832529667931786e-01,2.884178232257483820e-01
1.295053141590057244e+00,3.461004457959424019e-01,1.908136548982520553e-01
1.207373962457867211e+00,-1.942513884624452458e-01,6.338153365484741619e-02
9.142871978663029697e-01,-5.757599971736935274e-01,6.927784154897598246e-02
5.479113713184918799e-01,-7.403362104658399723e-01,2.508495798432737733e-01
2.374316641697968855e-01,-7.185712443619072243e-01,4.912635951695123460e-01
5.736415390580928975e-02,-6.059996721452756141e-01,6.203695301802814033e-01
2.244855678392165821e-03,-5.134526825524050597e-01,5.688736891337304868e-01
-2.244855678392138065e-03,-5.134526825524050597e-01,4.311263108662696242e-01
-5.736415390580923424e-02,-6.059996721452756141e-01,3.796304698197187077e-01
-2.374316641697962749e-01,-7.185712443619071133e-01,5.087364048304873210e-01
-5.479113713184911028e-01,-7.403362104658400833e-01,7.491504201567255050e-01
-9.142871978663025256e-01,-5.757599971736938604e-01,9.307221584510239065e-01
-1.207373962457866989e+00,-1.942513884624459120e-01,9.366184663451527781e-01
-1.295053141590057244e+00,3.461004457959415692e-01,8.091863451017482500e-01
-1.098912845659334447e+00,9.118832529667912912e-01,7.115821767742517290e-01
-6.318058255495178077e-01,1.340387496398831146e+00,7.799351254001257727e-01
-4.898587196589412829e-16,1.500000000000000000e+00,9.999999999999998890e-01
